School Name,Region,District,Town/City,School Type,Contact Email,Contact Phone,Latitude,Longitude
"Achimota Senior High","Greater Accra","Okaikwei North","Achimota","Mixed","Info@achimota.edu.gh","+233 54 335 5293, +233 24 420 3367, +233 24 476 9163","5.6242019","-0.2276807"
"Adisadel College","Central","Cape Coast","Cape Coast","Boys","adisadelcollege.edu@gmail.com","+233 24 458 6786, +233 20 512 2241","5.1080932","-1.2417103"
"Accra Academy","Greater Accra","Accra","Kaneshie","Boys","info@accraacademy.edu.gh","+233 24 436 6598, +233 23 850 1622, +233 30 222 1721","5.5665786","-0.2344584"
"Presby Boys' Senior High, Legon","Greater Accra","La Nkwantanang Madina","Legon","Boys","preseclegon38@gmail.com","+23324 325 4847, +233 032 50 0945","5.6476582","-0.1960267"
"Wesley Girls' High School, Cape Coast","Central","Cape Coast","Cape Coast","Girls","info@wesleygirls.edu.gh","0240313002","5.1080932","-1.2417103"
"Holy Child School, Cape Coast","Central","Cape Coast","Cape Coast","Girls","holychildj@yahoo.com","+233 24 454 5918","5.1080932","-1.2417103"
"Prempeh College","Ashanti","Kumasi Metro","Sofoline-Kumasi","Boys","info@mysite.com","+233 20 573 6772, +233 24 317 4491","6.701216","-1.6486251"
"St. Louis Senior High, Kumasi","Ashanti","Kumasi Metro","Oduom-Kumasi","Girls","stlouisseniorhighschool@yahoo.com","+233 54 780 0131","6.6923537","-1.5434307"
"Opoku Ware School","Ashanti","Kumasi Metro","Santasi-Kumasi","Boys","opokuwareschool52@gmail.com","+233 32 202 3812, +233 20 938 1990","6.6551985","-1.6469954"
"Ghana Senior High, Koforidua","Eastern","New Juaben North Municipal","Koforidua","Mixed","ghanashskoforidua@ges.gov.gh","+233 20 882 0410","6.100334","-0.2614572"
"Mawuli School, Ho","Volta","Ho Municipal","Ho","Mixed","info@mawulischool.edu.gh","+233 20 820 0199, +233 36 202 6221","6.6126598","0.4688932"
"Accra Tech. Trg. Centre","Greater Accra","Ayawaso South","Kokomlemle","Mixed","attcvice.acad@gmail.com","+233 20 813 5961, +233 30 222 8356","5.5755147","-0.2088731"
"Mfantsiman Girls' Senior High","Central","Mfantseman Municipal","Mfantseman","Girls","mgssinfo@gmail.com","+233 20 955 4881, +233 55 624 1100, +233 033 219 2017","5.20461","-1.052489"
"Yaa Asantewaa Girls Senior High .","Ashanti","Kumasi Metro","Tanoso-Kumasi","Girls","info@yagshs.edu.gh","+233 24 457 0712, +233 32 205 0016","6.6968818","-1.6910308"
"St. Augustine's College, Cape Coast","Central","Cape Coast","Cape Coast","Boys","auguscocapecoast@yahoo.com","+233 20 871 8742, +233 33 213 2733","5.1080932","-1.2417103"
"Kumasi High School","Ashanti","Kumasi Metro","Gyinyase-Kumasi","Boys","akwasio100@gmail.com","+233 20 672 9148","6.6609258","-1.5746176"
"T. I. Ahmadiyya Senior High, Kumasi","Ashanti","Kumasi Metro","Kumasi - Stadium","Mixed","admin@realamass.edu.gh","+233 20 826 4955, +233 32 202 2881","6.6985605","-1.6233086"
"Ghana National College","Central","Cape Coast","Cape Coast","Mixed","ghanacol@yahoo.com","+233 20 900 9994","5.1080932","-1.2417103"
"St. Peter's Senior High, Nkwatia","Eastern","Kwahu East","Nkwatia","Boys","info@stpeters.edu.gh","+233 20 124 8687, +233 24 881 4310","6.6318324","-0.7410388"
"Tamale Senior High .","Northern","Sagnerigu Municipal","Tamale","Mixed","tamaleshs@ges.gov.gh","+233 20 778 6072, +233 24 406 5293","9.4051992","-0.8423986"
"Accra Wesley Girls High","Greater Accra","Accra","Kaneshie","Girls","accrawesleygirlshs@yahoo.com","+233 30 224 3639, +233 24 343 9907","5.5665786","-0.2344584"
"Labone Senior High","Greater Accra","La Dade-Kotopon Municipal","Labone","Mixed","laboneshs@gmail.com","+233 27 068 9232, +233 24 324 8901, +233 24 355 4246, +233 24 477 7695","5.5698193","-0.1720821"
"Cape Coast Tech. Inst.","Central","Cape Coast","Cape Coast","Mixed","greatbiseco@yahoo.com","+233 24 459 7212, +233 24 288 8478","5.1080932","-1.2417103"
"KNUST Senior High","Ashanti","Kumasi Metro","KNUST/Boadi Junction","Mixed","techsec@email.com","+233 55 788 9989, +233 32 206 0140, +233 24 697 7891","6.6785135","-1.575422"
"Tema Senior High","Greater Accra","Tema West Municipal","Tema Comm 5","Mixed","admin@temascho.com","+233 24 407 0084","5.6102888","-0.0500946"
"Bosomtwe STEM Academy","Ashanti","Bosomtwe","Jachie","Boys","support@basic.edu.gh","0240313002","6.5700264","-1.5200748"
"Koforidua Tech. Inst.","Eastern","New Juaben South Municipal","Koforidua","Mixed","info@ktu.edu.gh","+233 20 840 9214, +233 24 467 1202","6.100334","-0.2614572"
"Kpando Tech. Inst.","Volta","Kpando Municipal","Kpando","Mixed","kpantechschool@yahoo.com","+233 50 133 5205, +233 50 133 5206, +233 50 133 5202, +233 208 899 328","6.9971645","0.2937002"
"Okuapeman Senior High","Eastern","Akwapim North Municipal","Akropong","Mixed","okuas@okuas.20m.com","+233 24 478 6058, +233 34 202 4345","5.9705603","-0.0891667"
"St. James Sem & Senior High, Abesim","Bono","Sunyani","Abesim","Boys","st.jamessemshs@ges.gov.gh","0240313002","7.287233","-2.2693527"
"St. Rose's Senior High, Akwatia","Eastern","Denkyembour","Akwatia","Girls","st.rosessenior@yahoo.com","+233 20 818 6781, +233 20 988 9966","6.0422","-0.797137"
"Aggrey Mem. A.M.E.Zion Snr. High","Central","Abura Asebu Kwamankese","Cape Coast","Mixed","aggreymemamezionshs@ges.gov.gh","0240313002","5.1080932","-1.2417103"
"Armed Forces Senior High/Tech, Kumasi","Ashanti","Kumasi Metro","Bantama-Kumasi","Mixed","armedforceskumasishst@ges.gov.gh","0240313002","6.7051319","-1.63486"
"Koforidua Senior High/Tech","Eastern","New Juaben North Municipal","Koforidua","Mixed","mmarimamma@alumni.comPhone","0240313002","6.100334","-0.2614572"
"Abetifi Kyemase Technical Institute","Eastern","Kwahu East","Abetifi","Mixed","abetifivti@gmail.com","+233 54 375 6579, +233 24 194 4961","6.672433","-0.743845"
"Ada Tech. Inst.","Greater Accra","Ada East","Ada","Mixed","adatechinstitute@yahoo.com","+233 24 233 7811, +233 24 483 4087, +233 28 955 5155, +233 20 828 8005, +233 54 748 2431","5.5996507","-0.1134774"
"Ebenezer Senior High","Greater Accra","Accra","Dansoman","Mixed","info@gopadua.net","+23320 177 0225, 233 +24 403 4276, +233 +233 55 965 1014, +233 30 298 6227","5.5448458","-0.2680674"
"St. Thomas Aquinas Senior High, Cantoments","Greater Accra","La Dade-Kotopon Municipal","Cantonments","Boys","Accrainfo@staquinasshs.org","+233 24 316 0507","5.5841563","-0.1692489"
"Bolga Tech. Inst.","Upper East","Bolgatanga Municipal","Bolgatanga","Mixed","info@gtvets.gov.gh","038 202 3005, 055 424 8816","10.7853963","-0.8487322"
"Ofori Panin Senior High","Eastern","Abuakwa North Municipal","Kukurantumi","Mixed","oforipaninshsofficial@gmail.com","+233 24 442 5137, +233 20 850 5988","6.1887835","-0.3636951"
"Sunyani Senior High","Bono","Sunyani","Sunyani","Mixed","susec@susec.edu.gh","+233554385614","7.3281795","-2.3226661"
"Tema Tech. Inst.","Greater Accra","Tema","Tema","Mixed","Tematechinst@yahoo.com","+233 24 421 5350, +233 25 737 9112","5.6596409","-0.0096771"
"Asuansi Tech. Inst.","Central","Abura Asebu Kwamankese","Asuansi","Mixed","asutech1917@gmail.com","+233 20 875 2803, +233 24 499 1448","5.3024204","-1.2368219"
"Christian Methodist Senior High","Greater Accra","Ga South","Aplaku (Weija)","Mixed","christianmethodistshs@ges.gov.gh","+233 24 678 9006, +233 24 478 6058, +233 24 382 9510","5.5497922","-0.3292626"
"Dabokpa Voc/Tech. Inst.","Northern","Tamale Metro","Tamale","Mixed","dabokpatechvocinst@ges.gov.gh","+233 20 827 0117","9.4051992","-0.8423986"
"Kpasenpke STEM Senior High","North East","West Mamprusi","Kpasenkpe","Mixed","stemshskpasenkpe4.2022@gmail.com","0240313002","10.4431776","-1.0491974"
"Kumasi Senior High/Tech","Ashanti","Kumasi Metro","Patasi-Kumasi","Mixed","kstsedu.gh91@gmail.com","0240313002","6.6801443","-1.6433144"
"Our Lady of Providence Senior High","Bono","Jaman South","Kwasi Buokrom","Girls","olpgirls@gmail.com","+233202660329","7.85","-2.53333"
"Presby Senior High, Teshie","Greater Accra","Ledzokuku","Teshie","Mixed","teshiepresec@gmail.com","+233 24 483 7052, +233 55 055 8829","5.5822343","-0.1135104"
"Sekondi College","Western","Sekondi Takoradi","Sekondi","Mixed","support@sekco.edu.gh","024 493 8600","4.937","-1.7127928"
"St. John's Senior High, Sekondi","Western","Sekondi Takoradi","Sekondi","Boys","info@stjohnsschool.edu.gh","0240313002","4.937","-1.7127928"
"Takoradi Tech. Inst.","Western","Effia Kwesimintsim Municipal","Takoradi","Mixed","gacious13@gmail.com","+233 55 393 4214, +233 54 953 3975","4.887401","-1.7519316"
"Ada Senior High/Tech.","Greater Accra","Ada West","Sege","Mixed","Astechsege@gmail.com","0240313002","5.8749479","0.3616909"
"Adeiso Presby Senior High","Eastern","Upper West Akim Municipal","Adeiso","Mixed","presbyadeisoshs@ges.gov.gh","+233 20 775 9796","5.7971342","-0.4872364"
"Agric Nzema Senior High, Kumasi","Ashanti","Kwadaso","Kumasi","Mixed","agricnzemashs@gmail.com","+233 242688586, +233 24 446 9152","6.6985605","-1.6233086"
"Kumasi Academy","Ashanti","Asokore Mampong Municipal","Asokore Mampong","Mixed","Info@kumaca.edu.gh","+233 24 427 5866, +233 20 082 2649, +233 32 206 0096, +233 20839 4660","6.7077852","-1.5665013"
"Nkoranza Tech Inst.","Bono East","Nkoranza South","Nkoranza","Mixed","ntiprinc07@yahoo.com","024 146 4912","7.6840763","-1.6507715"
"Presby Senior High, Mampong Akwapim","Eastern","Akwapim North Municipal","Mampong-Akwapim","Mixed","mypresec@gmail.com","+233 50 709 5666, +233 24 476 1356","6.3879799","-0.529084"
"Suame Technical Institute","Ashanti","Suame","Suame","Mixed","support@basic.edu.gh","0240313002","6.7163628","-1.6369204"
"Adako Jachie Technical Institute","Ashanti","Ejisu Municipal","Kwamo","Mixed","ajtinstitute@gmail.com","+233242671013, +233554455212","6.7144473","-1.503254"
"Adjen Kotoku Senior High","Greater Accra","Ga West","Adjen Kotoku","Mixed","AdjenKotokushs2016@gmail.com","+233 20 819 2350, +233 50 602 0102","5.7363349","-0.3605708"
"Adu Gyamfi Senior High","Ashanti","Sekyere South","Jamasi","Mixed","adugyamfishs@ges.gov.gh","+233 20 878 8556, +233 27 712 1710","6.9732864","-1.4743803"
"Agogo State College","Ashanti","Asante Akim North","Agogo","Mixed","support@basic.edu.gh","+233 20 463 0371, +233 24 940 4372","6.8008746","-1.0847298"
"Agona Technical Institute","Ashanti","Sekyere South","Agona Ashanti","Mixed","info@gtvets.gov.gh","0240313002","6.9335669","-1.4889522"
